date,meeting,motion_number,measure_type,measure_number,short_title,movant,motion_description,required_threshold,description,discussion,friendly,roll_call,Yvette Alexander,Marion Barry,Anita Bonds,Muriel Bowser,David Catania,Mary Cheh,Jack Evans,Jim Graham,David Grosso,Kenyan McDuffie,Phil Mendelson,Vincent Orange,Tommy Wells,passed
2014-01-07,Legislative Meeting,1,Bill,20-482,Fiscal Year 2014 Budget Support Technical Clarification Act of 2014,Phil Mendelson,Main,7,Main Motion for B20-482,[Phil Mendelson],,,,,,,,,,,,,,,,POSTPONED
2014-01-07,Legislative Meeting,2,Bill,20-482,Fiscal Year 2014 Budget Support Technical Clarification Act of 2014,Phil Mendelson,Postpone to a Time Certain,7,Postpone to February Meeting,[Phil Mendelson],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,3,Bill,20-22,Residential Real Property Tax Relief Act of 2014,Jack Evans,Main,7,Main Motion for B20-22,[Jack Evans],,,,,,,,,,,,,,,,CARRIED OVER
2014-01-07,Legislative Meeting,4,Bill,20-318,Senior Citizen Real Property Tax Relief Act of 2014,Jack Evans,Main,7,Main Motion for B20-318,[Jack Evans;Vincent Orange;Jim Graham;Muriel Bowser;Tommy Wells;Phil Mendelson;Anita Bonds;Kenyan McDuffie;Mary Cheh],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,5,Bill,20-346,Public Service Commission and People’s Counsel Terms of Service Harmonization Amendment Act of 2014,Kenyan McDuffie,Main,7,Main Motion for B20-346,[Kenyan McDuffie;Muriel Bowser;Jim Graham;David Catania;Phil Mendelson;Kenyan McDuffie],N,N,Y,A,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,6,Bill,20-346,Public Service Commission and People’s Counsel Terms of Service Harmonization Amendment Act of 2014,David Catania,Close Debate,9,Close Debate on B20-346,[David Catania],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,7,Bill,20-346,Public Service Commission and People’s Counsel Terms of Service Harmonization Amendment Act of 2014,Phil Mendelson,Amend,7,"Amendment 001 (Mendelson Oral Amendment, Page 2, Line 11, Strike 'range')",[Phil Mendelson],Y,,,,,,,,,,,,,,,TRUE
2014-01-07,Legislative Meeting,8,Bill,20-343,Expedited Partner Therapy Act of 2014,Yvette Alexander,,7,Main Motion for B20-343,["YA"],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,9,Bill,20-343,Expedited Partner Therapy Act of 2014,Yvette Alexander,Amend,7,Amendment 002 (Alexander ANS),["YA";"DG"],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,10,Bill,20-387,Electric Company Infrastructure Improvement Financing Act of 2014,Phil Mendelson,Main,7,Main Motion for B20-343,[Phil Mendelson],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,11,Resolution,,Sense of the Council in Support of the Living Wage Emergency Declaration Resolution of 2014,Vincent Orange,Main,9,Main Motion,[Vincent Orange],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,12,Resolution,,Sense of the Council in Support of the Living Wage Emergency Approval Resolution of 2014,Vincent Orange,Main,7,Main Motion,[Vincent Orange],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,13,Resolution,,Proposed Multiyear Contract No. DCAM-14-NC-0085 Emergency Declaration Resolution of 2014,Kenyan McDuffie,Main,9,Main Motion,[Kenyan McDuffie;Marion Barry],N,N,Y,Y,Y,Y,Y,Y,Y,Y,P,Y,Y,Y,Y,TRUE
2014-01-07,Legislative Meeting,14,Resolution,,Proposed Multiyear Contract No. DCAM-14-NC-0085 Emergency Approval Resolution of 2014,Kenyan McDuffie,Main,7,Main Motion,[Kenyan McDuffie;Marion Barry],N,N,Y,Y,Y,Y,Y,Y,Y,Y,P,Y,Y,Y,Y,TRUE
