date,meeting,motion_number,measure_type,measure_number,short_title,movant,motion_description,required_threshold,description,discussion,friendly,roll_call,Yvette Alexander,Marion Barry,Anita Bonds,Muriel Bowser,David Catania,Mary Cheh,Jack Evans,Jim Graham,David Grosso,Kenyan McDuffie,Phil Mendelson,Vincent Orange,Tommy Wells,passed
2013-11-05,Legislative Meeting,1,Bill,20-29,District of Columbia Distillery Pub Licensure Act of 2013,Phil Mendelson,Main,7,Main Motion,[“Phil Mendelson”;“Tommy Wells”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,2,Bill,20-445,Livery Class Regulation and Ride-Sharing Temporary Amendment Act of 2013,Mary Cheh,Main,7,Main Motion,[“Mary Cheh”],,,,A,,,,,,,,,,,,POSTPONED
2013-11-05,Legislative Meeting,3,Bill,20-445,Livery Class Regulation and Ride-Sharing Temporary Amendment Act of 2013,Mary Cheh,Postpone Indefinitely,8,Postponed Indefinitely,[“Mary Cheh”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,4,Bill,20-430,Transportation Infrastructure Mitigation Temporary Amendment Act of 2013,Mary Cheh,Main,7,Main Motion,[“Mary Cheh”],,,,A,,,,,,,,,,,,POSTPONED
2013-11-05,Legislative Meeting,5,Bill,20-430,Transportation Infrastructure Mitigation Temporary Amendment Act of 2013,Mary Cheh,Postpone to a Time Certain,7,"Postponed until December 3, 2013, Legislative Meeting",[“Mary Cheh”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,6,Bill,20-275,Drivers Safety Amendment Act of 2013,Mary Cheh,Main,7,Main Motion,[“Mary Cheh”],N,N,Y,A,Y,Y,Y,Y,Y,N,Y,Y,Y,A,N,TRUE
2013-11-05,Legislative Meeting,7,Bill,20-275,Drivers Safety Amendment Act of 2013,Mary Cheh,Amend,7,Amendment 001 (Cheh ANS),[“MC”;”JG”;”DG”;”TW”;”PM”;”MUB”;”DC”;”PM”;”KM”;”AB”;”PM”;”JG”;”TW”],N,Y,Y,A,Y,Y,Y,Y,Y,N,N,Y,Y,A,N,TRUE
2013-11-05,Legislative Meeting,8,Bill,20-275,Drivers Safety Amendment Act of 2013,Phil Mendelson,Amend,7,"Amendment 002 (Mendelson Oral Amendment to Page 5, Lines 22-24, striking everything after “social security number”)",[“PM”],Y,,,,,,,,,,,,,,,TRUE
2013-11-05,Legislative Meeting,9,Bill,20-275,Drivers Safety Amendment Act of 2013,Phil Mendelson,Amend,7,"Amendment 003 (Mendelson Oral Amendment to Page 5, Lines 13-14)",[“PM”],Y,,,,,,,,,,,,,,,TRUE
2013-11-05,Legislative Meeting,10,Bill,20-127,Prescription Drug Monitoring Program Act of 2013,Yvette Alexander,Main,7,Main Motion,[“YA”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,11,Bill,20-127,Prescription Drug Monitoring Program Act of 2013,Yvette Alexander,Amend,7,Amendment 004 (Alexander ANS),[“YA”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,12,Bill,20-314,Parent and Student Empowerment Act of 2013,David Catania,Main,7,Main Motion,[“DC”;”DG”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,13,Bill,20-311,Focused Student Achievement Act of 2013,David Catania,Main,7,Main Motion,[“DC”;”TW”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,14,Bill,20-311,Focused Student Achievement Act of 2013,David Catania,Amend,7,Amendment 005 (Catania ANS),[“DC”],Y,,,,,,,,,,,,,,,TRUE
2013-11-05,Legislative Meeting,15,Bill,20-70,Historic Music Cultural Institutions Expansion Tax Abatement Act of 2013,Jack Evans,Waive 231(c),8,Waive 231(c),[“JE”],N,N,Y,A,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,Y,TRUE
2013-11-05,Legislative Meeting,16,Bill,20-70,Historic Music Cultural Institutions Expansion Tax Abatement Act of 2013,Jack Evans,Main,7,Main Motion,[“JE”;”DG”;”MUB”],N,N,Y,A,Y,N,P,Y,Y,Y,P,Y,Y,A,P,TRUE
