date,meeting,motion_number,measure_type,measure_number,short_title,movant,motion_description,required_threshold,description,discussion,friendly,roll_call,Yvette Alexander,Marion Barry,Anita Bonds,Muriel Bowser,David Catania,Mary Cheh,Jack Evans,Jim Graham,David Grosso,Kenyan McDuffie,Phil Mendelson,Vincent Orange,Tommy Wells,passed
2013-12-03,Legislative Meeting,1,PR,20-454,Housing Finance Agency Board of Directors Stanley Jackson Confirmation Resolution of 2013,Muriel Bowser,Main Motion,7,Main Motion PR20-454,[“Muriel Bowser”;”Marion Barry”;”Vincent Orange”],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,2,B,20-430,Transportation Infrastructure Mitigation Temporary Amendment Act of 2013,Mary Cheh,Main Motion,7,Main Motion on B20-430,[“Mary Cheh”],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,3,B,20-430,Transportation Infrastructure Mitigation Temporary Amendment Act of 2013,Mary Cheh,Amend,7,Amendment 001 (Cheh amendment),[“Mary Cheh”],Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,4,B,20-557,Critical Infrastructure Freedom of Information Temporary Amendment Act of 2013,Kenyan McDuffie,Main Motion,7,Main Motion on B20-557,[“Kenyan McDuffie”],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,5,B,20-557,Critical Infrastructure Freedom of Information Temporary Amendment Act of 2013,Kenyan McDuffie,Amend,7,Amendment 002 (McDuffie amendment),[“Kenyan McDuffie”],Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,6,B,20-70,Historic Music Cultural Institutions Expansion Tax Abatement Act of 2013,Jack Evans,Main Motion,7,Main Motion on B20-70,[“Jack Evans”;”David Grosso”],N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,7,B,20-76,Campaign Finance Reform and Transparency Amendment Act of 2013,Kenyan McDuffie,Main Motion,7,Main Motion on B20-76,[“Kenyan McDuffie”;”Tommy Wells”;”Marion Barry”;”David Grosso”;”Tommy Wells”;”Jack Evans”;”Vincent Orange”;”Jim Graham”],N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,8,B,20-76,Campaign Finance Reform and Transparency Amendment Act of 2013,Kenyan McDuffie,Amend,7,Amendment 003 (McDuffie amendments),[“Kenyan McDuffie”;”Jim Graham”;”Marion Barry”;”Muriel Bowser”],N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,TRUE
2013-12-03,Legislative Meeting,9,B,20-76,Campaign Finance Reform and Transparency Amendment Act of 2013,Tommy Wells,Amend,7,Amendment 004 (Wells amendment),[“Tommy Wells”;”Phil Mendelson”;”Jim Graham”;”Marion Barry”;”Kenyan McDuffie”;”Vincent Orange”;”Jim Graham”],N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,FALSE
2013-12-03,Legislative Meeting,10,B,20-76,Campaign Finance Reform and Transparency Amendment Act of 2013,Jim Graham,Amend,7,Amendment 005 (Graham oral amendment to Amendment 004 to strike the phrase “business contributor” and insert “business contributor and individual”),[“Jim Graham”;”Muriel Bowser”;”Marion Barry”;”Yvette Alexander”;”Tommy Wells”],N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,FALSE
